Åen 140, 9000 Aalborg;9000;Aalborg;https://dawa.aws.dk/adresser/14a45cef-b1ef-4951-80b3-4d71e53ff58b;14a45cef-b1ef-4951-80b3-4d71e53ff58b
Bognæsvej 20, Herslev, 4000 Roskilde;4000;Roskilde;https://dawa.aws.dk/adresser/0a3f50ab-a34a-32b8-e044-0003ba298018;0a3f50ab-a34a-32b8-e044-0003ba298018
Gabet 1, Lønstrup, 9800 Hjørring;9800;Hjørring;https://dawa.aws.dk/adgangsadresser/0a3f509a-6f5e-32b8-e044-0003ba298018;0a3f509a-6f5e-32b8-e044-0003ba298018
Dadevej 6, Sandby, 4171 Glumsø;4171;Glumsø;https://dawa.aws.dk/adgangsadresser/0a3f5086-ed31-32b8-e044-0003ba298018;0a3f5086-ed31-32b8-e044-0003ba298018
Buen 5, 2000 Frederiksberg;2000;Frederiksberg;https://dawa.aws.dk/adgangsadresser/0a3f507b-41b7-32b8-e044-0003ba298018;0a3f507b-41b7-32b8-e044-0003ba298018
Høgevej 10A, 6600 Vejen;6600;Vejen;https://dawa.aws.dk/adresser/0a3f50ba-1250-32b8-e044-0003ba298018;0a3f50ba-1250-32b8-e044-0003ba298018
Gaaen 6, Faarup, 9493 Saltum;9493;Saltum;https://dawa.aws.dk/adgangsadresser/0a3f509b-3198-32b8-e044-0003ba298018;0a3f509b-3198-32b8-e044-0003ba298018
Kærly 1, 8940 Randers SV;8940;Randers SV;https://dawa.aws.dk/adgangsadresser/0a3f5094-b954-32b8-e044-0003ba298018;0a3f5094-b954-32b8-e044-0003ba298018
Tærø 1, 4772 Langebæk;4772;Langebæk;https://dawa.aws.dk/adresser/0a3f50af-beaf-32b8-e044-0003ba298018;0a3f50af-beaf-32b8-e044-0003ba298018
Egåvej 1, Voldum, 8370 Hadsten;8370;Hadsten;https://dawa.aws.dk/adgangsadresser/0a3f5093-b339-32b8-e044-0003ba298018;0a3f5093-b339-32b8-e044-0003ba298018
Maden 3, Hasle, 8210 Aarhus V;8210;Aarhus V;https://dawa.aws.dk/adgangsadresser/0a3f5096-8e9d-32b8-e044-0003ba298018;0a3f5096-8e9d-32b8-e044-0003ba298018
Bækskov 1, 5290 Marslev;5290;Marslev;https://dawa.aws.dk/adgangsadresser/0a3f5088-7af6-32b8-e044-0003ba298018;0a3f5088-7af6-32b8-e044-0003ba298018
Sjunkebyvej 1, 4900 Nakskov;4900;Nakskov;https://dawa.aws.dk/adgangsadresser/0a3f5086-8d94-32b8-e044-0003ba298018;0a3f5086-8d94-32b8-e044-0003ba298018
V/Buen 2, 6640 Lunderskov;6640;Lunderskov;https://dawa.aws.dk/adgangsadresser/0a3f5090-6cbe-32b8-e044-0003ba298018;0a3f5090-6cbe-32b8-e044-0003ba298018
Atkærvænget 1, 4261 Dalmose;4261;Dalmose;https://dawa.aws.dk/adgangsadresser/0a3f5082-f391-32b8-e044-0003ba298018;0a3f5082-f391-32b8-e044-0003ba298018
Øbakkevej 1, Ledøje, 2765 Smørum;2765;Smørum;https://dawa.aws.dk/adgangsadresser/0a3f507d-275a-32b8-e044-0003ba298018;0a3f507d-275a-32b8-e044-0003ba298018
Cumberlandsgade 1, 2300 København S;2300;København S;https://dawa.aws.dk/adgangsadresser/0a3f507a-595c-32b8-e044-0003ba298018;0a3f507a-595c-32b8-e044-0003ba298018
Kile 7, 5471 Søndersø;5471;Søndersø;https://dawa.aws.dk/adgangsadresser/0a3f508a-ac0f-32b8-e044-0003ba298018;0a3f508a-ac0f-32b8-e044-0003ba298018
Idunsalle 2, 4500 Nykøbing Sj;4500;Nykøbing Sj;https://dawa.aws.dk/adgangsadresser/0a3f5083-d65f-32b8-e044-0003ba298018;0a3f5083-d65f-32b8-e044-0003ba298018
Bådebrogade 1, 6700 Esbjerg;6700;Esbjerg;https://dawa.aws.dk/adgangsadresser/0a3f508d-6f07-32b8-e044-0003ba298018;0a3f508d-6f07-32b8-e044-0003ba298018
Kædevænget 1, 6500 Vojens;6500;Vojens;https://dawa.aws.dk/adgangsadresser/0a3f508c-c49e-32b8-e044-0003ba298018;0a3f508c-c49e-32b8-e044-0003ba298018
Jacobsvej 2, 3310 Ølsted;3310;Ølsted;https://dawa.aws.dk/adgangsadresser/0a3f507e-f5c1-32b8-e044-0003ba298018;0a3f507e-f5c1-32b8-e044-0003ba298018
Kampen 2, Rinkenæs, 6300 Gråsten;6300;Gråsten;https://dawa.aws.dk/adgangsadresser/0a3f508b-797f-32b8-e044-0003ba298018;0a3f508b-797f-32b8-e044-0003ba298018
Jutevej 2, 3300 Frederiksværk;3300;Frederiksværk;https://dawa.aws.dk/adgangsadresser/0a3f507e-f64b-32b8-e044-0003ba298018;0a3f507e-f64b-32b8-e044-0003ba298018
Vigø 1, 5642 Millinge;5642;Millinge;https://dawa.aws.dk/adresser/0a3f50b2-bf6a-32b8-e044-0003ba298018;0a3f50b2-bf6a-32b8-e044-0003ba298018
Ådalen 1, 4600 Køge;4600;Køge;https://dawa.aws.dk/adgangsadresser/0a3f5081-bb4c-32b8-e044-0003ba298018;0a3f5081-bb4c-32b8-e044-0003ba298018
Indfaldet 1, 4000 Roskilde;4000;Roskilde;https://dawa.aws.dk/adgangsadresser/2e5eefde-91ee-4e78-972f-71076cb0928e;2e5eefde-91ee-4e78-972f-71076cb0928e
Idyl 2, Tved, 6000 Kolding;6000;Kolding;https://dawa.aws.dk/adgangsadresser/0a3f5090-34fc-32b8-e044-0003ba298018;0a3f5090-34fc-32b8-e044-0003ba298018
Aaspe 1, 6261 Bredebro;6261;Bredebro;https://dawa.aws.dk/adgangsadresser/0a3f508b-3e1c-32b8-e044-0003ba298018;0a3f508b-3e1c-32b8-e044-0003ba298018
Pi 1, Søften, 8382 Hinnerup;8382;Hinnerup;https://dawa.aws.dk/adgangsadresser/0a3f5093-e5e5-32b8-e044-0003ba298018;0a3f5093-e5e5-32b8-e044-0003ba298018
Egholm 1, Huseby, 3200 Helsinge;3200;Helsinge;https://dawa.aws.dk/adresser/0a3f50a8-f12e-32b8-e044-0003ba298018;0a3f50a8-f12e-32b8-e044-0003ba298018
Nåbyvej 1, Nåby, 4160 Herlufmagle;4160;Herlufmagle;https://dawa.aws.dk/adgangsadresser/0a3f5086-f28e-32b8-e044-0003ba298018;0a3f5086-f28e-32b8-e044-0003ba298018
Zambiavej 3T, 2770 Kastrup;2770;Kastrup;https://dawa.aws.dk/adgangsadresser/6bd46a49-e0e4-71a9-e044-00144f3ead67;6bd46a49-e0e4-71a9-e044-00144f3ead67
Gænget 1, Sandvig, 3770 Allinge;3770;Allinge;https://dawa.aws.dk/adresser/0a3f50b1-ec8b-32b8-e044-0003ba298018;0a3f50b1-ec8b-32b8-e044-0003ba298018
Raden 1, Råbylille, 4780 Stege;4780;Stege;https://dawa.aws.dk/adgangsadresser/0a3f5085-96c4-32b8-e044-0003ba298018;0a3f5085-96c4-32b8-e044-0003ba298018
Egen 10, Svogerslev, 4000 Roskilde;4000;Roskilde;https://dawa.aws.dk/adresser/0a3f50ab-d086-32b8-e044-0003ba298018;0a3f50ab-d086-32b8-e044-0003ba298018
Bybjærg 3, 4370 Store Merløse;4370;Store Merløse;https://dawa.aws.dk/adgangsadresser/0a3f5085-031b-32b8-e044-0003ba298018;0a3f5085-031b-32b8-e044-0003ba298018
Åbjerg 2, Gevninge, 4000 Roskilde;4000;Roskilde;https://dawa.aws.dk/adgangsadresser/16bed59f-979f-1efc-e044-0003ba298018;16bed59f-979f-1efc-e044-0003ba298018
Ålykke 1, 9000 Aalborg;9000;Aalborg;https://dawa.aws.dk/adgangsadresser/5ba710e3-e5a8-5980-e044-0003ba298018;5ba710e3-e5a8-5980-e044-0003ba298018
Halden 1, 7700 Thisted;7700;Thisted;https://dawa.aws.dk/adgangsadresser/43e9c21d-525e-40dd-b455-01570278d87b;43e9c21d-525e-40dd-b455-01570278d87b
Frem 3, 2800 Kongens Lyngby;2800;Kongens Lyngby;https://dawa.aws.dk/adgangsadresser/0a3f507d-4698-32b8-e044-0003ba298018;0a3f507d-4698-32b8-e044-0003ba298018
Ojbakvej 1, Vorupør, 7700 Thisted;7700;Thisted;https://dawa.aws.dk/adgangsadresser/0a3f5098-9268-32b8-e044-0003ba298018;0a3f5098-9268-32b8-e044-0003ba298018
Labæk 2, 4300 Holbæk;4300;Holbæk;https://dawa.aws.dk/adgangsadresser/0a3f5083-36dd-32b8-e044-0003ba298018;0a3f5083-36dd-32b8-e044-0003ba298018
Beta 1, 6893 Hemmet;6893;Hemmet;https://dawa.aws.dk/adgangsadresser/0a3f5091-2ff4-32b8-e044-0003ba298018;0a3f5091-2ff4-32b8-e044-0003ba298018
Ubberup Mark 1, 4400 Kalundborg;4400;Kalundborg;https://dawa.aws.dk/adgangsadresser/0a3f5083-a1c2-32b8-e044-0003ba298018;0a3f5083-a1c2-32b8-e044-0003ba298018
Æ-Drøwt 1, Vridsted, 7800 Skive;7800;Skive;https://dawa.aws.dk/adgangsadresser/0a3f5097-5dcb-32b8-e044-0003ba298018;0a3f5097-5dcb-32b8-e044-0003ba298018
Omøgade 1, 2100 København Ø;2100;København Ø;https://dawa.aws.dk/adgangsadresser/0a3f507a-d4e6-32b8-e044-0003ba298018;0a3f507a-d4e6-32b8-e044-0003ba298018
Fuglagervej 2, 2720 Vanløse;2720;Vanløse;https://dawa.aws.dk/adgangsadresser/0a3f507a-73d3-32b8-e044-0003ba298018;0a3f507a-73d3-32b8-e044-0003ba298018
Fjølners Toft 3, 6100 Haderslev;6100;Haderslev;https://dawa.aws.dk/adgangsadresser/f20ed2c5-6712-4d50-9e5c-adbe744b8d8d;f20ed2c5-6712-4d50-9e5c-adbe744b8d8d
Raden 1, Råbylille, 4780 Stege;4780;Stege;https://dawa.aws.dk/adgangsadresser/0a3f5085-96c4-32b8-e044-0003ba298018;0a3f5085-96c4-32b8-e044-0003ba298018
Nyby Klitvej 2, Rindby Strand, 6720 Fanø;6720;Fanø;https://dawa.aws.dk/adgangsadresser/0a3f508d-e24f-32b8-e044-0003ba298018;0a3f508d-e24f-32b8-e044-0003ba298018
Labæk 2, 4300 Holbæk;4300;Holbæk;https://dawa.aws.dk/adgangsadresser/0a3f5083-36dd-32b8-e044-0003ba298018;0a3f5083-36dd-32b8-e044-0003ba298018
H.C.Vej 4, Venslev, 4050 Skibby;4050;Skibby;https://dawa.aws.dk/adgangsadresser/0a3f5080-9f92-32b8-e044-0003ba298018;0a3f5080-9f92-32b8-e044-0003ba298018
Siø 2, Siø, 5900 Rudkøbing;5900;Rudkøbing;https://dawa.aws.dk/adgangsadresser/0a3f508a-cfd7-32b8-e044-0003ba298018;0a3f508a-cfd7-32b8-e044-0003ba298018
Bank-Mikkelsens Vej 1, 2820 Gentofte;2820;Gentofte;https://dawa.aws.dk/adgangsadresser/0a3f507b-ce87-32b8-e044-0003ba298018;0a3f507b-ce87-32b8-e044-0003ba298018
Alfa 1, 6893 Hemmet;6893;Hemmet;https://dawa.aws.dk/adgangsadresser/0a3f5091-2fa7-32b8-e044-0003ba298018;0a3f5091-2fa7-32b8-e044-0003ba298018
Sildegade 3, Hanstholm, 7730 Hanstholm;7730;Hanstholm;https://dawa.aws.dk/adresser/9ffddf70-4cf7-4b0f-a33b-e2f32dfac755;9ffddf70-4cf7-4b0f-a33b-e2f32dfac755
Raden 1, Råbylille, 4780 Stege;4780;Stege;https://dawa.aws.dk/adgangsadresser/0a3f5085-96c4-32b8-e044-0003ba298018;0a3f5085-96c4-32b8-e044-0003ba298018
Janumvej 1, 9460 Brovst;9460;Brovst;https://dawa.aws.dk/adgangsadresser/0a3f5099-2aae-32b8-e044-0003ba298018;0a3f5099-2aae-32b8-e044-0003ba298018
Æbeløgade 3, 5400 Bogense;5400;Bogense;https://dawa.aws.dk/adresser/0a3f50b2-674b-32b8-e044-0003ba298018;0a3f50b2-674b-32b8-e044-0003ba298018
Pukkelvej 1, 8400 Ebeltoft;8400;Ebeltoft;https://dawa.aws.dk/adgangsadresser/0a3f5093-4f35-32b8-e044-0003ba298018;0a3f5093-4f35-32b8-e044-0003ba298018
Bådvej 1, 5240 Odense NØ;5240;Odense NØ;https://dawa.aws.dk/adgangsadresser/0a3f5089-0dcc-32b8-e044-0003ba298018;0a3f5089-0dcc-32b8-e044-0003ba298018
Tærø 1, 4772 Langebæk;4772;Langebæk;https://dawa.aws.dk/adresser/0a3f50af-beaf-32b8-e044-0003ba298018;0a3f50af-beaf-32b8-e044-0003ba298018
O-Vej 1, 2300 København S;2300;København S;https://dawa.aws.dk/adgangsadresser/0c2be2d1-5d3a-4901-8a90-7c9c25c25b3b;0c2be2d1-5d3a-4901-8a90-7c9c25c25b3b
Wais 1, Stubbæk, 6200 Aabenraa;6200;Aabenraa;https://dawa.aws.dk/adgangsadresser/0a3f508c-fbff-32b8-e044-0003ba298018;0a3f508c-fbff-32b8-e044-0003ba298018
Y-Vej 4, 2300 København S;2300;København S;https://dawa.aws.dk/adgangsadresser/396c3f62-5f01-4dee-848d-8dd5d56aea64;396c3f62-5f01-4dee-848d-8dd5d56aea64
Orfeus Alle 2, 2650 Hvidovre;2650;Hvidovre;https://dawa.aws.dk/adgangsadresser/0a3f507c-d8fa-32b8-e044-0003ba298018;0a3f507c-d8fa-32b8-e044-0003ba298018
Jebs Vej 1, Pindesholm, 6440 Augustenborg;6440;Augustenborg;https://dawa.aws.dk/adgangsadresser/13c3cbaa-c60a-4d4e-93fb-da10e87ab8ce;13c3cbaa-c60a-4d4e-93fb-da10e87ab8ce
Æ-Drøwt 1, Vridsted, 7800 Skive;7800;Skive;https://dawa.aws.dk/adgangsadresser/0a3f5097-5dcb-32b8-e044-0003ba298018;0a3f5097-5dcb-32b8-e044-0003ba298018
Albanigade 2, 5000 Odense C;5000;Odense C;https://dawa.aws.dk/adgangsadresser/455fd1e4-6b59-476c-afa6-ad2f7b1af07b;455fd1e4-6b59-476c-afa6-ad2f7b1af07b
Sifs Plads 1, 2100 København Ø;2100;København Ø;https://dawa.aws.dk/adgangsadresser/bb9ca322-048a-4821-8a5a-eaf8f2d878c3;bb9ca322-048a-4821-8a5a-eaf8f2d878c3
Bogmose 2, Skovby, 5400 Bogense;5400;Bogense;https://dawa.aws.dk/adgangsadresser/0a3f5087-d38f-32b8-e044-0003ba298018;0a3f5087-d38f-32b8-e044-0003ba298018
Rho 1, Søften, 8382 Hinnerup;8382;Hinnerup;https://dawa.aws.dk/adgangsadresser/4ca54b0f-32c9-0052-e044-0003ba298018;4ca54b0f-32c9-0052-e044-0003ba298018
Øen 2, Vostrup, 6880 Tarm;6880;Tarm;https://dawa.aws.dk/adgangsadresser/0a3f5091-2a98-32b8-e044-0003ba298018;0a3f5091-2a98-32b8-e044-0003ba298018
Christian IV's Bro;;;https://dawa.aws.dk/vejnavne/Christian%20IV's%20Bro;
Natovej 1, Grove, 7540 Haderup;7540;Haderup;https://dawa.aws.dk/adgangsadresser/0a3f5091-0653-32b8-e044-0003ba298018;0a3f5091-0653-32b8-e044-0003ba298018
Åen 140, 9000 Aalborg;9000;Aalborg;https://dawa.aws.dk/adresser/14a45cef-b1ef-4951-80b3-4d71e53ff58b;14a45cef-b1ef-4951-80b3-4d71e53ff58b
Hans Kirks Vej 5, 2200 København N;2200;København N;https://dawa.aws.dk/adgangsadresser/0a3f507a-83f4-32b8-e044-0003ba298018;0a3f507a-83f4-32b8-e044-0003ba298018
Oren 1, Aarsdale, 3740 Svaneke;3740;Svaneke;https://dawa.aws.dk/adgangsadresser/0a3f5087-8ccd-32b8-e044-0003ba298018;0a3f5087-8ccd-32b8-e044-0003ba298018
Psyak 3, 1440 København K;1440;København K;https://dawa.aws.dk/adgangsadresser/0a3f507b-3a1e-32b8-e044-0003ba298018;0a3f507b-3a1e-32b8-e044-0003ba298018
Wæbersvej 1, 4000 Roskilde;4000;Roskilde;https://dawa.aws.dk/adresser/0a3f50ac-319d-32b8-e044-0003ba298018;0a3f50ac-319d-32b8-e044-0003ba298018
Ceciliavej 1, 9280 Storvorde;9280;Storvorde;https://dawa.aws.dk/adgangsadresser/0a3f509b-573b-32b8-e044-0003ba298018;0a3f509b-573b-32b8-e044-0003ba298018
Kølkær Hovedgade 2, Kølkær, 7400 Herning;7400;Herning;https://dawa.aws.dk/adgangsadresser/0a3f5091-63ca-32b8-e044-0003ba298018;0a3f5091-63ca-32b8-e044-0003ba298018
Bagå 1, Hasle, 3790 Hasle;3790;Hasle;https://dawa.aws.dk/adgangsadresser/0a3f5087-5417-32b8-e044-0003ba298018;0a3f5087-5417-32b8-e044-0003ba298018
Kidingvej 2A, Bovrup, 6200 Aabenraa;6200;Aabenraa;https://dawa.aws.dk/adgangsadresser/0a3f508b-c370-32b8-e044-0003ba298018;0a3f508b-c370-32b8-e044-0003ba298018
Ibsenvej 1, Hostrup, 7860 Spøttrup;7860;Spøttrup;https://dawa.aws.dk/adgangsadresser/4a4eddf7-9031-4052-a6cd-1d843d018a64;4a4eddf7-9031-4052-a6cd-1d843d018a64
Quintusvej 1, 9492 Blokhus;9492;Blokhus;https://dawa.aws.dk/adgangsadresser/0a3f509b-46aa-32b8-e044-0003ba298018;0a3f509b-46aa-32b8-e044-0003ba298018
Lodkrog 1A, Holme-Olstrup, 4684 Holmegaard;4684;Holmegaard;https://dawa.aws.dk/adgangsadresser/0a3f5085-4c8c-32b8-e044-0003ba298018;0a3f5085-4c8c-32b8-e044-0003ba298018
T.Øllgårds Vej 3, 6740 Bramming;6740;Bramming;https://dawa.aws.dk/adgangsadresser/0a3f508d-57ba-32b8-e044-0003ba298018;0a3f508d-57ba-32b8-e044-0003ba298018
Vangen 4, Nexø, 3730 Nexø;3730;Nexø;https://dawa.aws.dk/adgangsadresser/0a3f5087-b21a-32b8-e044-0003ba298018;0a3f5087-b21a-32b8-e044-0003ba298018
Egen 10, Svogerslev, 4000 Roskilde;4000;Roskilde;https://dawa.aws.dk/adresser/0a3f50ab-d086-32b8-e044-0003ba298018;0a3f50ab-d086-32b8-e044-0003ba298018
Dalkær 1, 2605 Brøndby;2605;Brøndby;https://dawa.aws.dk/adgangsadresser/0a3f507b-99d5-32b8-e044-0003ba298018;0a3f507b-99d5-32b8-e044-0003ba298018
Bladet 1, 9300 Sæby;9300;Sæby;https://dawa.aws.dk/adgangsadresser/0a3f509b-d59d-32b8-e044-0003ba298018;0a3f509b-d59d-32b8-e044-0003ba298018
Carl Blochs Gade 9, 8000 Aarhus C;8000;Aarhus C;https://dawa.aws.dk/adgangsadresser/0a3f5096-04ba-32b8-e044-0003ba298018;0a3f5096-04ba-32b8-e044-0003ba298018
K-Vej 1, 2300 København S;2300;København S;https://dawa.aws.dk/adgangsadresser/c85ab578-9cda-4c81-91f8-8ad3887bb6e0;c85ab578-9cda-4c81-91f8-8ad3887bb6e0
Hækken 10, Næsby Strand, 4200 Slagelse;4200;Slagelse;https://dawa.aws.dk/adresser/0a3f50ae-995d-32b8-e044-0003ba298018;0a3f50ae-995d-32b8-e044-0003ba298018
Damly 1, 9830 Tårs;9830;Tårs;https://dawa.aws.dk/adgangsadresser/0a3f509a-6776-32b8-e044-0003ba298018;0a3f509a-6776-32b8-e044-0003ba298018
Våesvej 1A, Vilslev, 6771 Gredstedbro;6771;Gredstedbro;https://dawa.aws.dk/adgangsadresser/0a3f508e-4cfc-32b8-e044-0003ba298018;0a3f508e-4cfc-32b8-e044-0003ba298018
Anna Anchers Vej 1, 3000 Helsingør;3000;Helsingør;https://dawa.aws.dk/adgangsadresser/0a3f507f-9473-32b8-e044-0003ba298018;0a3f507f-9473-32b8-e044-0003ba298018
Jacobsvej 1, Kaldred, 4593 Eskebjerg;4593;Eskebjerg;https://dawa.aws.dk/adgangsadresser/0a3f5082-7f88-32b8-e044-0003ba298018;0a3f5082-7f88-32b8-e044-0003ba298018
Ahlmannsgade 1, 2200 København N;2200;København N;https://dawa.aws.dk/adgangsadresser/0a3f507a-37d5-32b8-e044-0003ba298018;0a3f507a-37d5-32b8-e044-0003ba298018
Rågø 1, 4913 Horslunde;4913;Horslunde;https://dawa.aws.dk/adgangsadresser/0a3f5086-7b5c-32b8-e044-0003ba298018;0a3f5086-7b5c-32b8-e044-0003ba298018
Soldalen 1, Nakke, 4500 Nykøbing Sj;4500;Nykøbing Sj;https://dawa.aws.dk/adgangsadresser/0a3f5083-e695-32b8-e044-0003ba298018;0a3f5083-e695-32b8-e044-0003ba298018
Vår Skovvej 1, Farstrup, 9240 Nibe;9240;Nibe;https://dawa.aws.dk/adgangsadresser/0a3f509b-197f-32b8-e044-0003ba298018;0a3f509b-197f-32b8-e044-0003ba298018
Zeppelinvej 3, 6360 Tinglev;6360;Tinglev;https://dawa.aws.dk/adgangsadresser/0a3f508c-a132-32b8-e044-0003ba298018;0a3f508c-a132-32b8-e044-0003ba298018
My 1, Søften, 8382 Hinnerup;8382;Hinnerup;https://dawa.aws.dk/adgangsadresser/0a3f5093-e39d-32b8-e044-0003ba298018;0a3f5093-e39d-32b8-e044-0003ba298018
Tøgersvej 3, 3500 Værløse;3500;Værløse;https://dawa.aws.dk/adgangsadresser/0a3f507e-39b0-32b8-e044-0003ba298018;0a3f507e-39b0-32b8-e044-0003ba298018
Eddavej 1, Tarup, 5210 Odense NV;5210;Odense NV;https://dawa.aws.dk/adgangsadresser/0a3f5089-1c51-32b8-e044-0003ba298018;0a3f5089-1c51-32b8-e044-0003ba298018
Ankjær 101, 8300 Odder;8300;Odder;https://dawa.aws.dk/adgangsadresser/0a3f5094-5e55-32b8-e044-0003ba298018;0a3f5094-5e55-32b8-e044-0003ba298018
Fræervej 1A, Gl Skørping, 9520 Skørping;9520;Skørping;https://dawa.aws.dk/adgangsadresser/0a3f509b-aa68-32b8-e044-0003ba298018;0a3f509b-aa68-32b8-e044-0003ba298018
Åen 136, 9000 Aalborg;9000;Aalborg;https://dawa.aws.dk/adgangsadresser/1f289f18-963a-372c-e044-0003ba298018;1f289f18-963a-372c-e044-0003ba298018
Jebs Vej 1, Pindesholm, 6440 Augustenborg;6440;Augustenborg;https://dawa.aws.dk/adgangsadresser/13c3cbaa-c60a-4d4e-93fb-da10e87ab8ce;13c3cbaa-c60a-4d4e-93fb-da10e87ab8ce
Avbækvej 4, Avbæk, 6200 Aabenraa;6200;Aabenraa;https://dawa.aws.dk/adgangsadresser/0a3f508c-d6b8-32b8-e044-0003ba298018;0a3f508c-d6b8-32b8-e044-0003ba298018
Fæbyvej 5, 4760 Vordingborg;4760;Vordingborg;https://dawa.aws.dk/adgangsadresser/0a3f5087-2e80-32b8-e044-0003ba298018;0a3f5087-2e80-32b8-e044-0003ba298018
Helved 1, 6440 Augustenborg;6440;Augustenborg;https://dawa.aws.dk/adgangsadresser/0a3f508b-2056-32b8-e044-0003ba298018;0a3f508b-2056-32b8-e044-0003ba298018
Pi 1, Søften, 8382 Hinnerup;8382;Hinnerup;https://dawa.aws.dk/adgangsadresser/0a3f5093-e5e5-32b8-e044-0003ba298018;0a3f5093-e5e5-32b8-e044-0003ba298018
